timestamp,open,high,low,close,volume,year,month,day
2021-01-11 00:00:00+00:00,1254.24,1260.0,1254.13,1258.13,1260.89963,2021,1,11
2021-01-11 00:01:00+00:00,1258.13,1258.13,1248.17,1248.42,2267.41976,2021,1,11
2021-01-11 00:02:00+00:00,1248.27,1249.25,1242.01,1247.04,3480.62194,2021,1,11
2021-01-11 00:03:00+00:00,1247.04,1248.27,1243.25,1243.47,1176.9521,2021,1,11
2021-01-11 00:04:00+00:00,1243.56,1245.0,1236.75,1239.25,2125.10455,2021,1,11
2021-01-11 00:05:00+00:00,1239.25,1242.37,1233.15,1235.54,2661.22834,2021,1,11
2021-01-11 00:06:00+00:00,1235.53,1240.37,1234.83,1235.8,1365.91373,2021,1,11
2021-01-11 00:07:00+00:00,1235.81,1236.64,1226.0,1236.09,3811.94587,2021,1,11
2021-01-11 00:08:00+00:00,1236.09,1240.26,1235.0,1235.24,1110.2588,2021,1,11
2021-01-11 00:09:00+00:00,1235.24,1236.22,1229.14,1231.9,1508.42535,2021,1,11
2021-01-11 00:10:00+00:00,1231.64,1232.95,1224.52,1226.46,2074.57049,2021,1,11
2021-01-11 00:11:00+00:00,1226.77,1229.33,1223.38,1224.72,1590.65916,2021,1,11
2021-01-11 00:12:00+00:00,1224.72,1229.21,1223.66,1226.22,1359.82025,2021,1,11
2021-01-11 00:13:00+00:00,1226.22,1226.43,1218.26,1225.89,2347.02362,2021,1,11
2021-01-11 00:14:00+00:00,1225.89,1228.74,1222.86,1228.07,1062.01864,2021,1,11
2021-01-11 00:15:00+00:00,1228.22,1237.25,1228.0,1236.76,2013.73029,2021,1,11
2021-01-11 00:16:00+00:00,1236.76,1238.2,1233.65,1235.37,1001.78005,2021,1,11
2021-01-11 00:17:00+00:00,1235.37,1235.37,1231.35,1232.15,1160.15475,2021,1,11
2021-01-11 00:18:00+00:00,1232.14,1236.96,1231.69,1236.6,562.44343,2021,1,11
2021-01-11 00:19:00+00:00,1236.86,1239.68,1235.0,1235.56,1211.19927,2021,1,11
2021-01-11 00:20:00+00:00,1235.28,1244.38,1235.28,1244.14,1124.55219,2021,1,11
2021-01-11 00:21:00+00:00,1244.14,1247.3,1243.47,1243.84,1421.2541,2021,1,11
2021-01-11 00:22:00+00:00,1244.04,1246.83,1243.21,1245.41,795.95185,2021,1,11
2021-01-11 00:23:00+00:00,1245.26,1245.41,1239.22,1240.91,992.00839,2021,1,11
2021-01-11 00:24:00+00:00,1240.91,1240.92,1234.48,1236.82,1183.36362,2021,1,11
2021-01-11 00:25:00+00:00,1236.83,1237.54,1231.52,1233.7,760.55434,2021,1,11
2021-01-11 00:26:00+00:00,1233.69,1233.69,1226.24,1228.61,1351.75607,2021,1,11
2021-01-11 00:27:00+00:00,1228.6,1231.78,1224.48,1227.28,1480.49062,2021,1,11
2021-01-11 00:28:00+00:00,1227.21,1231.8,1226.43,1227.98,1410.39131,2021,1,11
2021-01-11 00:29:00+00:00,1227.82,1232.77,1223.77,1232.22,1243.90163,2021,1,11
2021-01-11 00:30:00+00:00,1232.06,1239.51,1232.04,1239.38,1284.23743,2021,1,11
2021-01-11 00:31:00+00:00,1239.32,1243.64,1237.01,1242.6,858.17229,2021,1,11
